"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"8839","F","HB","37","18","1","6343","F","COUPE","95","1","11.359"
"8139","F","CNVTBL","23","8","1","4510","F","COUPE","81","1","47.751"
"2421","F","COUPE","44","15","1","7629","F","HB","92","1","49.686"
"6886","F","SEDAN","43","11","1","1438","F","SUV","97","0","22.157"
"6581","F","COUPE","14","24","2","6300","F","COUPE","98","1","44.083"
"7152","F","HB","9","46","1","2183","F","SPORTS","89","0","40.545"
"5023","F","SPORTS","40","7","1","8115","F","CNVTBL","90","1","5.9578"
"786","F","SPORTS","1","14","1","1494","F","HB","94","1","12.711"
"2971","F","SEDAN","19","46","1","7182","F","SEDAN","98","1","13.011"
"7990","F","CNVTBL","2","24","2","2421","F","CNVTBL","65","1","35.223"
"3845","F","SUV","5","39","2","7442","F","SUV","48","1","13.582"
"476","F","HB","49","8","1","5882","F","SEDAN","92","1","29.245"
"5563","F","HB","17","48","1","7721","F","COUPE","93","1","33.313"
"9175","F","COUPE","0","16","1","2679","F","CNVTBL","85","1","31.417"
"2644","F","HB","18","45","2","3957","F","HB","70","1","33.929"
"2158","F","CNVTBL","23","47","1","942","F","SEDAN","99","1","41.532"
"1311","F","COUPE","8","43","1","9309","F","CNVTBL","98","1","35.252"
"9360","F","CNVTBL","18","19","1","601","F","COUPE","86","1","23.62"
"2612","F","SEDAN","28","13","1","2976","F","CNVTBL","87","0","2.5625"
"3881","F","CNVTBL","22","12","2","7148","F","CNVTBL","15","1","4.0199"
"6703","F","CNVTBL","1","45","1","6246","F","COUPE","81","1","32.184"
"8206","F","COUPE","27","1","2","3762","F","COUPE","80","1","22.449"
"6278","F","COUPE","46","20","1","7424","F","HB","82","1","12.197"
"1959","F","SEDAN","2","21","1","2994","F","COUPE","96","0","37.985"
"2936","F","SEDAN","0","37","1","8377","F","SPORTS","82","0","2.0766"
"3355","F","CNVTBL","14","24","1","1203","F","SPORTS","82","1","1.9621"
"4868","F","SEDAN","13","43","2","6646","F","SEDAN","39","1","25.761"
"5426","F","SUV","19","8","1","6140","F","SPORTS","85","1","32.566"
"8392","F","HB","5","10","2","4415","F","HB","87","1","41.628"
"9223","F","CNVTBL","10","8","1","4351","F","HB","99","1","29.181"
"7618","F","CNVTBL","24","5","1","2549","F","SPORTS","86","0","16.195"
"3756","F","HB","41","40","1","2230","F","COUPE","89","0","6.6063"
"6278","F","CNVTBL","8","2","1","8476","F","HB","98","1","18.054"
"9714","F","SPORTS","27","9","1","404","F","COUPE","85","1","7.4436"
"968","F","COUPE","48","40","1","5744","F","SEDAN","81","0","24.551"
"2972","F","CNVTBL","12","2","2","8788","F","CNVTBL","20","1","6.5396"
"1254","F","HB","49","40","2","1544","F","HB","23","1","44.729"
"7150","F","COUPE","22","48","2","2733","F","COUPE","7","1","2.9794"
"1370","S","SPORTS","10","45","2","1002","F","SPORTS","30","1","40.093"
"5008","F","SPORTS","20","4","1","1093","F","COUPE","95","1","41.791"
"4474","F","HB","17","45","1","848","F","SEDAN","98","1","18.81"
"4780","F","COUPE","7","20","1","899","F","CNVTBL","83","1","36.169"
"2007","F","SPORTS","36","14","2","3374","F","SPORTS","17","1","44.722"
"9432","F","HB","44","8","1","1721","F","SEDAN","89","1","7.1926"
"8623","F","SUV","17","1","1","1313","F","HB","98","1","1.57"
"1389","F","SEDAN","19","17","2","5495","F","SEDAN","7","1","30.256"
"3141","F","SPORTS","42","25","2","3945","F","SPORTS","58","1","19.038"
"7336","F","SPORTS","33","0","1","5976","F","SUV","91","0","6.8783"
"8734","F","SPORTS","35","7","2","1020","F","SPORTS","69","1","29.125"
"4532","F","HB","6","25","1","4365","F","SPORTS","88","1",".25924"
"8608","F","CNVTBL","39","35","2","5379","F","CNVTBL","70","1","26.596"
"4468","F","SPORTS","30","25","1","4553","F","CNVTBL","89","1","4.4367"
"8057","F","SPORTS","8","43","2","2036","F","SPORTS","86","1","11.406"
"7881","S","CNVTBL","21","31","2","6878","F","CNVTBL","45","1","45.803"
"5534","F","SPORTS","34","25","1","1529","F","CNVTBL","86","1","7.6568"
"1587","F","HB","36","20","2","7005","F","HB","6","1","4.8057"
"5076","F","COUPE","13","11","1","1553","F","SUV","91","0","11.346"
"1608","F","SPORTS","15","37","2","6981","F","SPORTS","53","1",".19297"
"3302","F","SPORTS","49","28","1","4983","F","SUV","92","1","39.285"
"5523","F","SPORTS","14","34","2","644","F","SPORTS","47","1","18.691"
"9521","F","CNVTBL","27","32","2","1495","F","CNVTBL","19","1","36.467"
"189","F","CNVTBL","45","39","1","1782","F","COUPE","81","0","1.8638"
"1227","F","HB","29","21","1","274","F","COUPE","88","0","46.932"
"735","F","SPORTS","47","9","2","3116","F","SPORTS","91","1","36.232"
"5634","F","HB","39","44","1","8600","F","CNVTBL","84","1","22.859"
"371","F","HB","45","35","1","5245","F","CNVTBL","93","1","18.408"
