"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"5893","F","CNVTBL","30","48","5","2403","S","SUV","25","1","30.658"
"3574","F","SPORTS","30","25","5","2233","S","COUPE","50","1","19.844"
"8225","F","COUPE","21","18","5","2382","S","COUPE","39","1","9.5313"
"4233","F","COUPE","10","33","5","8820","S","SEDAN","30","1","12.484"
"2556","F","SEDAN","41","41","5","5292","S","SPORTS","55","1","40.026"
"3172","F","SPORTS","24","29","1","7189","S","CNVTBL","83","1","22.087"
"3275","F","SEDAN","15","48","5","2076","S","HB","41","1","10.459"
"116","F","COUPE","16","43","5","4980","S","SPORTS","18","1","17.629"
"2115","F","COUPE","42","1","5","4547","S","SUV","72","1","18.274"
"3156","F","SUV","22","26","5","6613","S","SPORTS","68","1","2.856"
"7901","F","HB","24","45","5","7514","S","SEDAN","93","1","46.455"
"254","F","COUPE","3","8","2","201","S","SEDAN","72","1","11.895"
"8219","F","SUV","4","37","1","9684","S","SEDAN","94","1","23.027"
"579","F","COUPE","43","8","5","6146","S","SUV","94","1","15.718"
"2697","F","CNVTBL","8","23","5","3009","S","HB","76","1","20.527"
"7458","F","CNVTBL","4","7","5","1622","S","HB","78","1","2.3965"
"343","F","SEDAN","29","37","5","1076","S","CNVTBL","13","1","14.878"
"6580","F","HB","24","48","1","8501","S","SUV","82","1","36.529"
"473","F","SUV","9","23","1","7262","S","CNVTBL","87","1","49.107"
"5430","F","HB","23","36","1","3577","S","HB","95","1","15.327"
"8022","F","COUPE","3","5","1","4615","S","COUPE","81","1","20.227"
"9592","F","SEDAN","10","22","5","2508","S","SUV","14","1",".1839"
"391","F","SPORTS","34","37","2","219","S","SEDAN","95","1","31.562"
"9617","F","SEDAN","7","47","5","182","S","SEDAN","81","1","10.051"
