"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"8666","F","SEDAN","44","23","2","6581","F","SEDAN","34","1","31.931"
"7331","F","COUPE","24","19","2","1604","F","COUPE","27","1","31.003"
"1388","F","SUV","25","46","1","7144","F","SEDAN","91","0","45.198"
"2410","F","HB","28","42","1","5103","F","SUV","96","1","13.636"
"1500","F","HB","23","47","1","4296","F","CNVTBL","82","0","33.668"
"4897","F","CNVTBL","7","26","2","9856","F","CNVTBL","74","1","32.494"
"2128","F","SPORTS","10","4","1","5929","F","SPORTS","99","1",".38243"
"3732","F","COUPE","1","40","1","3434","F","CNVTBL","87","0","38.9"
"1641","F","SPORTS","26","38","2","7904","F","SPORTS","92","1","30.11"
"3755","F","CNVTBL","28","46","2","2595","F","CNVTBL","3","1","4.3091"
"6303","F","SPORTS","33","17","2","6206","F","SPORTS","73","1","29.266"
"3993","F","SEDAN","3","48","1","8675","F","SEDAN","89","1","18.59"
"1397","F","SPORTS","6","12","1","8101","F","SPORTS","92","0","22"
"8113","F","SUV","13","2","1","176","F","SEDAN","83","1","2.4518"
"562","F","COUPE","13","1","1","8766","F","CNVTBL","99","0","19.811"
"9191","F","COUPE","31","32","1","4865","F","SPORTS","92","1","40.237"
"5966","F","SPORTS","8","4","1","3630","F","CNVTBL","83","1","9.4025"
"5043","F","HB","15","47","2","6254","F","HB","41","1","46.827"
"4715","F","SEDAN","11","35","1","4016","F","SUV","83","1","46.627"
"5393","F","CNVTBL","49","12","1","5294","F","SUV","88","1","18.495"
"6280","F","SEDAN","7","9","2","7862","F","SEDAN","14","1","28.491"
"8040","F","COUPE","28","30","1","4110","F","SPORTS","89","1","23.33"
"1423","F","SPORTS","0","5","1","9704","F","SPORTS","81","0","9.5848"
"3600","S","SPORTS","24","34","1","8261","F","SPORTS","87","0","18.221"
"9622","F","SUV","14","4","2","4206","F","SUV","52","1","17.696"
"8033","F","CNVTBL","23","23","1","1705","F","SUV","90","1","20.472"
"9299","F","COUPE","32","2","1","9298","F","SPORTS","91","1","27.731"
"4987","F","SEDAN","0","35","2","8528","F","SEDAN","58","1",".57104"
"103","F","HB","9","13","1","3890","F","SUV","90","0","4.3415"
