"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"9558","F","SPORTS","28","18","5","1096","S","HB","36","1","1.7205"
"4782","F","SEDAN","7","9","1","3555","S","COUPE","81","1","5.2362"
"6050","F","SEDAN","35","28","5","8828","S","HB","73","1","4.1803"
"2899","F","COUPE","45","25","5","1672","S","HB","34","1","16.939"
"10","F","COUPE","11","9","1","2456","S","COUPE","86","1","2.9739"
"6496","F","HB","12","34","1","3811","S","HB","99","1",".13007"
"3023","F","SUV","32","4","1","4367","S","CNVTBL","90","1","24.626"
"5984","F","CNVTBL","39","28","2","3652","S","SUV","87","1","1.0439"
"2889","F","SUV","18","12","2","8256","S","SPORTS","92","1","41.663"
"5250","F","SPORTS","13","24","5","7881","F","CNVTBL","8","1","48.988"
"6650","F","SUV","17","35","2","4552","S","SPORTS","66","1","12.03"
"465","F","CNVTBL","49","0","1","6202","S","COUPE","87","1","4.4167"
"4681","F","SEDAN","40","7","1","5299","S","COUPE","92","1","25.673"
"6570","F","CNVTBL","8","12","5","7826","S","HB","68","1","7.4722"
"1485","F","HB","30","25","1","3943","S","HB","96","1","25.436"
"841","F","SEDAN","42","26","5","5874","S","COUPE","80","1","4.7467"
"4977","F","CNVTBL","9","17","5","378","S","CNVTBL","88","1","25.096"
"436","F","COUPE","45","29","2","6380","S","SUV","53","1","33.031"
"2061","S","COUPE","45","30","5","6392","S","SUV","57","1","2.6276"
"9162","F","SPORTS","48","19","1","854","S","SPORTS","91","1","17.152"
"7979","F","CNVTBL","19","13","5","9198","S","COUPE","4","1","14.87"
"4965","F","CNVTBL","24","9","5","5168","S","HB","68","1","3.1488"
"1453","F","COUPE","35","12","1","861","S","SUV","97","1","20.702"
"1431","F","CNVTBL","24","7","2","8171","S","CNVTBL","1","1","1.6556"
"8051","S","COUPE","0","35","2","5266","S","CNVTBL","90","1","5.8474"
"7795","F","SPORTS","34","38","2","6015","S","SPORTS","2","1","5.3051"
"370","F","SPORTS","5","18","1","6417","S","SPORTS","88","1","9.2516"
"7167","F","SUV","15","46","5","8885","S","CNVTBL","44","1","2.7134"
"1110","S","SEDAN","0","18","1","3710","S","SPORTS","99","1","1.081"
"5435","F","COUPE","25","49","2","9644","S","SPORTS","54","1","6.675"
"7280","F","CNVTBL","4","17","5","2982","S","SUV","17","1","2.1407"
"2224","F","CNVTBL","31","18","5","6217","S","HB","42","1","3.0388"
"2051","F","COUPE","18","32","1","1721","S","COUPE","89","1","29.996"
"1139","F","SEDAN","45","38","5","7441","S","COUPE","42","1","15.736"
"5497","F","HB","14","3","1","5085","S","HB","87","1","32.109"
"9516","F","COUPE","6","47","5","9955","S","SUV","94","1","18.891"
"9847","F","CNVTBL","49","22","5","7211","S","COUPE","53","1","4.8484"
"1302","F","SEDAN","39","23","5","9771","S","HB","70","1","1.5013"
"2606","F","SEDAN","21","31","2","2489","S","HB","34","1","12.72"
"4838","F","CNVTBL","2","49","2","1254","S","SUV","39","1","12.183"
"879","F","COUPE","24","14","5","2458","S","HB","62","1","1.9407"
"4771","S","SPORTS","14","23","5","3678","S","SEDAN","4","1","2.2834"
"9073","F","CNVTBL","11","5","5","4879","S","SUV","99","1","1.3266"
"6842","F","CNVTBL","2","47","2","1454","S","CNVTBL","78","1","20.957"
"3699","F","HB","5","7","5","1657","S","SEDAN","90","1",".70998"
"3018","F","SUV","46","11","1","9297","S","COUPE","95","1","18.822"
"7085","F","SEDAN","31","21","2","871","S","SPORTS","30","1","5.4717"
"1741","F","SPORTS","25","16","1","235","S","SPORTS","81","1","7.4288"
"3554","F","CNVTBL","47","36","5","8447","S","SPORTS","93","1","1.3082"
