"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE","ASSIGNEDCARNO","ASSIGNEDTYPE","ASSIGNEDMODEL","ASSIGNEDHASFUEL","ASSIGNEDSTEPNEY","ASSIGNEDTIMEAWAY"
"5011","F","COUPE","35","37","2","357","S","SEDAN","71","1","27.872"
"9257","F","HB","17","44","2","6713","S","CNVTBL","84","1","1.4868"
"7660","F","CNVTBL","8","14","5","1872","S","SPORTS","58","1","46.597"
"9041","F","HB","6","22","1","6317","S","SEDAN","85","1","19.965"
"5680","F","SPORTS","24","25","2","3890","S","SUV","69","1","33.745"
"1926","S","SPORTS","38","17","2","9912","S","SEDAN","79","1","12.414"
"5918","F","COUPE","29","33","1","4631","S","CNVTBL","93","1","37.767"
"2441","F","HB","34","39","5","4991","S","SUV","69","1","7.5068"
"121","F","COUPE","16","44","5","2377","S","SPORTS","38","1",".4247"
"2785","F","SUV","40","6","5","4943","S","COUPE","13","1","27.138"
"2915","F","SEDAN","44","40","1","1477","S","SEDAN","81","1","25.746"
"2547","F","SEDAN","49","9","5","2753","S","SUV","62","1",".99309"
"8222","F","SPORTS","22","47","5","1054","S","CNVTBL","3","1",".037302"
"1189","F","HB","14","18","5","8860","S","SPORTS","3","1","6.0273"
"5725","F","SPORTS","22","4","2","1699","S","HB","77","1","6.2599"
"5334","F","COUPE","44","43","2","1431","S","HB","18","1","48.901"
"2689","F","SEDAN","4","28","2","4725","S","SEDAN","85","1","32.341"
"2773","F","SPORTS","7","10","1","672","S","HB","93","1","9.2423"
"7642","F","CNVTBL","20","21","2","5041","S","SPORTS","86","1","41.787"
"1935","F","COUPE","47","45","1","8255","S","SPORTS","92","1","6.4544"
"3516","F","SUV","14","6","5","8570","S","SPORTS","43","1","3.3502"
"4444","F","SUV","0","43","2","7668","S","CNVTBL","23","1","9.2671"
"2037","F","SUV","27","7","5","3624","S","SUV","12","1","25.374"
"3772","F","SPORTS","42","3","5","5145","S","COUPE","9","1","1.0274"
"3368","F","COUPE","3","2","1","3088","S","SPORTS","84","1","27.313"
"6636","F","SEDAN","0","36","5","6321","S","SPORTS","29","1","15.064"
"831","F","HB","29","42","5","6553","S","SPORTS","64","1","12.17"
"2774","F","SPORTS","18","35","5","948","S","SEDAN","92","1","2.2215"
"3249","F","CNVTBL","29","6","5","1568","S","SEDAN","67","1","8.302"
"3964","F","SPORTS","45","33","5","9286","S","SUV","65","1","2.1337"
"3643","F","CNVTBL","3","22","2","2693","S","HB","82","1","8.8127"
"7538","F","COUPE","33","13","5","1209","S","SPORTS","14","1","43.099"
"7175","F","SUV","35","15","5","5819","S","COUPE","52","1","10.951"
"5978","F","HB","25","2","1","2803","S","COUPE","90","1","20.808"
"147","F","SUV","2","47","2","2172","S","HB","12","1","6.3518"
"6040","F","SPORTS","31","48","2","7282","S","COUPE","16","1","12.711"
"5679","F","COUPE","1","44","1","1192","S","SUV","96","1","6.7193"
"7695","F","HB","2","21","1","3325","S","SEDAN","99","1","28.4"
"5208","F","HB","15","47","5","89","S","CNVTBL","23","1","11.229"
"4430","F","SEDAN","6","27","2","678","S","SUV","14","1","20.583"
"6866","F","SUV","37","25","5","1876","S","SPORTS","2","1","29.137"
"6977","F","SEDAN","33","8","5","314","S","SEDAN","6","1","24.746"
