"MYCARNUMBER","MYCARTYPE","MYCARMODEL","MYLOCATIONX","MYLOCATIONY","PROBLEMCODE"
"1431","F","CNVTBL","24","7","2"
"2059","F","SEDAN","47","33","1"
"4557","F","SPORTS","4","48","1"
"114","F","CNVTBL","45","25","3"
"8051","S","COUPE","0","35","2"
"4187","F","COUPE","39","48","3"
"3133","F","CNVTBL","2","13","3"
"8768","S","SUV","46","8","1"
"5418","F","SUV","37","32","1"
"2497","F","HB","30","6","1"
"682","F","SPORTS","1","41","1"
"939","F","COUPE","33","8","4"
"5880","F","CNVTBL","31","14","4"
"2560","F","SUV","23","8","1"
"7795","F","SPORTS","34","38","2"
"8624","F","SUV","3","16","4"
"7083","F","SPORTS","15","14","1"
"370","F","SPORTS","5","18","1"
"7167","F","SUV","15","46","5"
"9990","F","SPORTS","41","22","2"
"4389","F","SEDAN","42","38","1"
"6629","F","HB","4","32","4"
"87","F","SUV","43","32","4"
"1110","S","SEDAN","0","18","1"
"9653","F","CNVTBL","14","30","1"
"8607","F","COUPE","0","0","3"
"3850","F","SEDAN","34","6","1"
"7150","F","SUV","22","47","4"
"2928","F","HB","26","20","3"
"6285","F","SEDAN","49","9","3"
"4444","F","HB","15","14","4"
"5243","F","SEDAN","39","46","4"
"8002","F","SEDAN","37","43","3"
"3657","F","COUPE","45","34","3"
"249","F","SUV","27","44","1"
"5435","F","COUPE","25","49","2"
"7280","F","CNVTBL","4","17","5"
"2319","F","SEDAN","14","17","3"
"2224","F","CNVTBL","31","18","5"
"5735","F","SPORTS","34","35","2"
"9558","F","SPORTS","28","18","5"
"7085","F","SEDAN","31","21","2"
"4878","F","HB","21","39","3"
"8320","F","COUPE","1","37","1"
"369","F","COUPE","19","8","3"
"4132","F","CNVTBL","42","26","2"
"9565","F","COUPE","22","18","1"
"1240","F","HB","49","24","1"
"1741","F","SPORTS","25","16","1"
"7311","F","SUV","23","4","2"
"9373","F","SUV","35","9","4"
"3554","F","CNVTBL","47","36","5"
"2899","F","COUPE","45","25","5"
"1600","F","CNVTBL","48","49","3"
"9772","F","SUV","30","20","1"
"463","F","SEDAN","3","5","2"
"3804","F","HB","3","12","5"
"9290","F","CNVTBL","40","33","2"
"6286","F","CNVTBL","10","9","4"
"3823","F","SEDAN","12","28","1"
"5279","F","HB","44","33","1"
"3318","F","HB","49","45","5"
"2491","F","SUV","40","38","4"
"9065","F","SEDAN","15","8","1"
"9850","F","COUPE","2","14","1"
"9458","F","COUPE","45","27","5"
"2202","F","SUV","45","2","1"
"3417","F","SPORTS","37","32","2"
"4042","F","COUPE","32","14","5"
"5701","F","HB","0","11","5"
"695","F","SPORTS","25","28","1"
"1943","F","SUV","23","35","1"
"9323","F","SUV","21","21","1"
"8070","F","HB","18","26","2"
"3479","F","COUPE","9","25","2"
"2056","F","CNVTBL","8","37","5"
"5821","F","SUV","35","7","5"
"679","F","SUV","11","42","3"
"3021","F","SEDAN","41","28","1"
"3434","F","HB","49","29","3"
"9282","F","COUPE","27","47","5"
"398","F","SEDAN","27","44","1"
"7961","F","COUPE","26","43","5"
"6446","F","COUPE","39","22","4"
"1367","F","COUPE","41","35","1"
"4136","F","COUPE","17","4","5"
"1335","F","SUV","11","23","1"
"7424","F","SEDAN","45","18","5"
"2387","F","SEDAN","16","28","5"
"5208","F","COUPE","33","35","2"
"5807","F","SUV","0","22","5"
"1531","F","CNVTBL","0","49","4"
"2211","F","CNVTBL","18","25","1"
"9187","F","HB","17","37","3"
"7849","F","SUV","22","1","1"
"8266","F","CNVTBL","12","14","5"
"7530","F","HB","32","24","1"
"8103","F","CNVTBL","27","39","1"
"5991","F","COUPE","7","15","4"
"1732","S","SPORTS","4","13","3"
"943","F","SUV","30","17","4"
"309","F","CNVTBL","19","20","2"
"7993","F","SUV","0","33","3"
"8448","F","CNVTBL","15","31","1"
"1239","F","SUV","8","25","4"
"5953","F","COUPE","13","46","5"
"2238","F","CNVTBL","33","8","2"
"2198","F","SEDAN","32","47","4"
"2114","F","SUV","22","0","2"
"882","F","SEDAN","6","7","1"
"1813","F","COUPE","12","22","1"
"8803","F","CNVTBL","33","20","1"
"8909","F","HB","44","17","5"
"1446","F","HB","34","32","2"
"926","F","SPORTS","24","9","4"
"9129","F","HB","13","22","1"
"8462","F","COUPE","5","8","1"
"4568","F","HB","20","18","2"
"7246","F","CNVTBL","47","27","3"
